Institution,OA Type,Discipline,Progress,Duration (in seconds),Finished,Do you agree to participate in this study?,GOLD ONLY Was there a fee (article processing charge) for the publication indicated in our email to you?,"GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Selected Choice","GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Maybe - Text",Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Selected Choice,Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Other - Text,"If you didn't have access to this funding, would you still have published in this journal? - Selected Choice","If you didn't have access to this funding, would you still have published in this journal? - Other - Text","If you had a colleague at an R3 university with zero grant funding, do you think this fee would be reasonable for them to pay?",What fees (if any) do you think are reasonable for journals to ask in exchange for open access publishing? (Please select the highest range you would deem reasonable),How do you perceive your ability to pay a publishing fee compared to other researchers in your field?,Do you have any additional comments regarding authors' ability to pay publishing fees for open access?,Do you have any additional comments about the topics in this survey?
UTK,Gold,NSE,100,237,TRUE,I agree to participate,Yes,,,Library,,No,,Extremely reasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"It is project dependent.  Some grants may have publishing fees in the budget and others do not.  Or, you budgeted an amount but it turns out the journal publishing fees have increased so you don't have enough funds to pay the entire bill.  This Open Access Funding Source is really essential.",We still publish some open source and some transfer-of-copyright manuscripts.  This requires the university to pay twice--the open source fee and then the journal subscription.  It seems worse than when it we were just held hostage to high journal subscription costs.  I wonder if there is any truth to this perception.
UTK,Gold,NSE,100,116,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,255,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,"I felt a bit trapped into the high fees ($3090) for this journal.  We had originally submitted to a different (higher impact [REDACTED] journal, which I think could have been worth the cost for its scope and recognition.  But, after review, the editorial staff suggested we transfer to a more specialized [REDACTED] journal.  At that point, it would have been too time consuming and cumbersome to pull the paper and resubmit to a completely different journal, so we went ahead.  But the fees for this journal do NOT match its standing or reputation, and I could have easily submitted this article to a no cost PLoS journal if I had realized earlier how much this journal would cost."
UTK,Gold,NSE,100,120,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,"Science publishing is one opf the most lucrative businesess, fees shound not be high",
UTK,Gold,NSE,100,186,TRUE,I agree to participate,Yes,,,"Grant,Department,Other university funding",,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,no,no
UTK,Gold,NSE,100,279,TRUE,I agree to participate,Yes,,,Library,,Other,,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,307,TRUE,I agree to participate,Yes,,,"Grant,Library",,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"This discussion is useless. There is a cost to publish a paper, and it does not matter what people feel they would like to pay for a paper. Somebody always paid, and with subscription journals, libraries pay for it - i.e., us.",See above
UTK,Gold,NSE,100,54,TRUE,I agree to participate,Yes,,,"Grant,Library",,No,,Extremely unreasonable,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,387,TRUE,I agree to participate,Yes,,,"Grant,Other university funding",,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,Publication fee is in general too expensive.
UTK,Gold,NSE,100,48,TRUE,I agree to participate,Yes,,,Library,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,142,TRUE,I agree to participate,Yes,,,Grant,,No,,Somewhat unreasonable,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,It is a scam for the publishers to make more money.,
UTK,Gold,NSE,100,9488,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"taxpayers pay twice, for doing the research, then gaining access to the published results. ",
UTK,Gold,NSE,0,1845,FALSE,I agree to participate,,,,,,,,,,,,
UTK,Gold,NSE,100,124,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,208,TRUE,I agree to participate,Yes,,,Other,Grant,No,,Somewhat unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,Fees for Journal articles in our Department have always been covered by the Department or by grant funding. Probably the Department funding was cam from F&A though I really do not know that with certainty. ,
UTK,Gold,NSE,100,53,TRUE,I agree to participate,Yes,,,Other,endowed professorship,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,128,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,Charging $1500 to $2200 is too much in my opinion,none
UTK,Gold,NSE,100,113,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,239,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,No,No
UTK,Gold,NSE,100,185,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $3k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"As an [PUBLISHER NAME] member, we struggle with the impending requirement for open access, weighed against the needs for the subscription revenue from these journals, and so I appreciate the need for open access fees, but it is very expensive. For profit publishers I have less sympathy for. ",
UTK,Gold,NSE,100,134,TRUE,I agree to participate,Yes,,,"Grant,Library",,No,,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,6127,TRUE,I agree to participate,Yes,,,"Other university funding,Other",,No,,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,182,TRUE,I agree to participate,No,No,,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,Journals make a lot of money. They should not be charing to publish.
UTK,Gold,NSE,100,60,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,106,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,NO,NO
UTK,Gold,NSE,100,83,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,No
UTK,Gold,NSE,100,321,TRUE,I agree to participate,Yes,,,Other,co-author,No,,Somewhat unreasonable,Less than or equal to $500,It is much more difficult for me to pay publishing fees than other researchers in my field,no,no
UTK,Gold,NSE,100,95,TRUE,I agree to participate,Yes,,,"Grant,Other",co-author,No,,Somewhat reasonable,Less than or equal to $500,It is much more difficult for me to pay publishing fees than other researchers in my field,no,no
UTK,Gold,NSE,100,101,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,338,TRUE,I agree to participate,Yes,,,"Department,Library",,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,APCs should be supported by Dept./College/University because publishing is an expectation/requirement of their job and benefits the institution's reputation. ,
UTK,Gold,NSE,100,123,TRUE,I agree to participate,Yes,,,Other university funding,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,Never clear why the authors should be expected to pay this,"Scientists do the work, review for free, and edit for free. The journals make a fortune off us."
UTK,Gold,NSE,100,137,TRUE,I agree to participate,Yes,,,"Other university funding,Other",Vouchers from peer-reviewing,No,,Extremely unreasonable,Less than or equal to $1.5k,It is much easier for me to pay publishing fees than other researchers in my field,"THANK YOU, UT OpenAccess Publishing Fund. Even by covering 2papers/year, our PIs get huge advantage in the 'publish or perish' environment.",
UTK,Gold,NSE,100,69,TRUE,I agree to participate,No,Yes,,,,,,,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HM,100,150,TRUE,I agree to participate,Yes,,,Department,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"It used to be easy for me to pay as the previous department head allowed use of departmental funds to pay for publication in open access journals. The current department had does not, which made publishing much more difficult.",
UTK,Gold,HM,100,180,TRUE,I agree to participate,Yes,,,Library,,No,,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HM,100,441,TRUE,I agree to participate,Yes,,,"Grant,Department,Library",,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I want to emphasize that help from the University and the departments is greatly appreciated. The cost of publishing has gone up significantly in the last 5 years that it is very difficult to find that kind of money. The amount needed to publish is very unreasonable and I do not understand why the cost has increased. It is very frustrating to investigators like myself, who want to publish in high impact journals, but, cannot always do so.",None
UTK,Gold,HM,100,181,TRUE,I agree to participate,Yes,,,Department,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,I appreciate opportunities for Open Access and understand the need to charge. I do wish funding avenues existed to pay these fees - and really want some of my research in open access venues.,
UTK,Gold,HM,100,216,TRUE,I agree to participate,Yes,,,"Department,Other",Start up funding ,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,My field open access fees are more expensive than others. ,
UTK,Gold,HM,100,146,TRUE,I agree to participate,Yes,,,Library,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HM,100,295,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is much more difficult for me to pay publishing fees than other researchers in my field,"I am still publishing research data from my previous institution and the department head of this institution is interested in increasing the amount of publication in his department so, he is providing the funding to cover publication fees.",No additional comments.
UTK,Gold,HM,100,591,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"The proportion of grant money that has to be set aside for APCs feels ridiculous, and unfair when that funding comes from public tax dollars and then is just shuttled straight to wildly profitable publishers.  Also, publications in ""good journals"" are required to get funding in the first place, and this can place a strain on researchers who don't yet have funding, but need to publish.  Notably, subscription (non open access) journals often also have high fees for page charges. ","I do factor in the APC in my decision of where to submit papers.  Some open access journals I can submit to have no APC or have negotiated agreements with UTK (PLoS) and so I favor those when possible, but sometimes the most appropriate journals are more expensive.  Costs for similar impact factor journals have ranged for us from $1000-$5000, and it seems arbitrary why some are so much more expensive than others.  I used to budget $2500 per year for publications in my grant, but in my recent submission, I increased that to $10k, because that better matches reality, even though it seems unreasonable.  I have also recently realized that some non open access journals also charge $1000-$3000 APCs just as ""page and color figure charges"".  This realization has made me more likely to choose open access journals, so at least the money goes to help make the work available, rather than the ""double charging"" model of a subscription journal with a long embargo that also has a $2000 fee. "
UTK,Gold,HM,100,171,TRUE,I agree to participate,Yes,,,Out of pocket,,No,,Somewhat unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"It would be nice if UT had fee waiver arrangements for journals in my field (veterinary medicine). Peer J and the other ones we have are nice journals, but they aren't very applicable to vet Med. The libraries at UT should look at institutions like Iowa State University to explore fee waiver programs. ",
UTK,Gold,HM,100,525,TRUE,I agree to participate,Yes,,,I'm not sure where the funding came from,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,I appreciate the UTK library Open Access / publishing group for supporting the publication of our articles and helping to make them available to everyone
UTK,Gold,HM,10,160,FALSE,I agree to participate,,,,,,,,,,,,
UTK,Gold,HM,100,442,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,Somewhat unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HM,100,197,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,I am lucky to be at an institution where there is a library fund to help support open access publishing.,"Open access gets a bad ""pay to publish"" reputation, but open access is so very important for OPEN ACCESS.  Everyone should have access to the research/information coming out of a public university."
UTK,Gold,HM,100,4236,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HM,100,125,TRUE,I agree to participate,Yes,,,"Grant,Library",,No,,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HM,100,431,TRUE,I agree to participate,Yes,,,Grant,,Other,Would not have published it in an open access forum.,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,"Open access journals are a great service. The problem is the publication fees. They can be quite high, and without either external funding or funding options at the University level, many researchers will not be able to afford the publication fees. This will result in either the research not being published, or it being published in print journals or online venues that will limit the extent to which the research findings can be disseminated. ",None.
UTK,Gold,HM,100,182,TRUE,I agree to participate,Yes,,,"Department,Other",Faculty start up funds,No,,Extremely unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"As someone who publishes and reviews open access journals, I am unclear what the publishing fee is actually paying for.  Since almost all journals are mostly electronic now, there arent too many actual costs of publication.  Especially as reviewers do not get compensated. ",
UTK,Gold,HM,100,167,TRUE,I agree to participate,Yes,,,I'm not sure where the funding came from,,No,,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I would not pay for an open access publication, but I prefer to publish open access. I am blessed to have UT pay for the publication.",
UTK,Gold,HM,100,150,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HM,100,339,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"It's all about grant funding!  I don't have any now, so i'm grateful the 1st author did!","I really appreciate the finding available to support open access at UT, open access is HUGELY important for increasing H index and citations..... ESPECIALLY important for assistant professors or folks from smaller labs, so THANK YOU!!!! Please keep it up!!"
UTK,Gold,HSS,100,100,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HSS,100,34,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat reasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HSS,100,146,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is much more difficult for me to pay publishing fees than other researchers in my field,,
UTK,Gold,HSS,100,340,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,Generally concerned that fees and the push towards open access journals with fees could make publishing more about which researchers have the most resources rather than about the ideas researchers have and could disadvantage early stage researchers or those from smaller institutions ,
UTK,Gold,HSS,100,119,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,More journals are forcing open access fees if you publish with them. I publish often so it does stress me out where I'll always come up with this money from. ,
UTK,Gold,HSS,90,203,FALSE,I agree to participate,Yes,,,Library,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"This is good support for faculty and student researchers. Please keep this program going.
Also, it will be important to remove the elligigibility criteria based on someone has already taken advantage of fee support recently.  This just limits our ability to stay productive. Most journals (good ones) charge for page these days, and its good for the visibility of our work and impact in society.",
UMass,Gold,NSE,100,178,TRUE,I agree to participate,Yes,,,"Department,Other university funding,The fee was waived",,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UMass,Gold,NSE,100,189,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,Somewhat unreasonable,Less than or equal to $3k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,Many researchers have institutional support for OA publishing that is not available at UMass. This absence of resources places us at a strong competitive disadvantage to these other institutions..,
UMass,Gold,NSE,100,101,TRUE,I agree to participate,Yes,,,Library,,No,,Somewhat unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UMass,Gold,NSE,100,377,TRUE,I agree to participate,Yes,,,"Grant,Out of pocket,Other",Federal funds and MSP research funds,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,"The whole premise of fees for publishing is wrong-headed. We researchers pay to do the research. We pay to publish the research. We pay more to publish the research open access. And then we pay to access that published content. The whole system is a cash cow, and we pay and pay and pay. And worse, it's literally a requirement for our academic success. And that is before you investigate equity concerns...",Thank you for doing this research! Read the section about academic publishing in the book: The Privatization of Everything: How the Plunder of Public Goods Transformed America and How We Can Fight Back by Donald Cohen and Allen Mikaelian
UMass,Gold,NSE,100,198,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UMass,Gold,NSE,100,398,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,Extremely unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"Yes, the paper in question came from a lab in [Balkan country] which had zero money. The paper was also short. Subscription based journals have given up (mostly) accepting short articles because they are a loser in the impact factor game. The only option for such a paper is open access. But my colleague had no money. We got the fee waived because we submitted to a journal that allows me a free submission as an editor. Without that, never would have been published.  ","I think open access tho well intentioned is a disaster. Authors should not be in the position of pay to play. The Library of Congress needs to publish scientific papers at cost, with the funds taken from an agency wide tax. For profit scientific publishers need to be put out of business. "
UMass,Gold,NSE,100,411,TRUE,I agree to participate,Yes,,,"Library,Out of pocket",,Other,Partial support from the library fund makes me more likely to choose open source venues,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,Three of the four primary journals in my field ([REDACTED]) are now open access with fees ranging from $2500-$5000 for a single publication.  There is no space in grants to geographers to pay these types of fees.  I am lucky that UMass returns some overhead and that I have been hoarding it for 10+ years.  That source is depleting fast.,I would estimate that I'm paying $10-15k per year in publication fees because so many journals in my field have switched to open access and I want to make sure students are publishing in places that keep them competitive for future research careers.  UMass right now will partially subsidize one of those publications (but I need help with 4-5 pubs per year).  It is completely unsustainable and I have no idea how I will continue to pay for publications.
UMass,Gold,NSE,100,611,TRUE,I agree to participate,No,No,,,,,,,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,"Researchers are generating the manuscripts on which the journals make money.  We have already paid to do the research, why would we give this information to a journal for a fee so they can make money.  I think the journal lobby force convince they funding agencies that open access was a good for everyone but historically there have been lots of ways to access manuscripts without paying. ",I was the President of a professional society.  Journals make huge amounts of money of the work of others and open access is mainly making the publishers more money for giving access to a very few number of scientist who do not have journal subscriptions.
UMass,Gold,NSE,100,89,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UMass,Gold,NSE,100,61,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UMass,Gold,NSE,100,160,TRUE,I agree to participate,Yes,,,Other,Authors split the fee. It came from various grants and other funding sources ,"Yes, I would have found another source of funding",,Extremely unreasonable,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,,
UMass,Gold,NSE,100,217,TRUE,I agree to participate,Yes,,,"Library,Other university funding",,No,,Extremely unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UMass,Gold,NSE,100,142,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UMass,Gold,NSE,100,165295,TRUE,I agree to participate,Yes,,,Other university funding,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UMass,Gold,HSS,100,110,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,No fees are reasonable,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"I couldn't secure funds through my university and stumbled upon an external funding opportunity. Otherwise, I was going to pay out of pocket. ",
UMass,Gold,HM,100,179,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"As long as reviewers are not paid, any fees should be minimal to offset expenses not covered by a journal's income from other sources.",
UMass,Gold,HM,100,108,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UMass,Gold,HM,100,97,TRUE,I agree to participate,No,No,,,,,,,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I was given a waiver for that publication, so I did not pay a fee.  I would not have published in that journal if I had to pay a fee.",
UMass,Gold,HM,100,126,TRUE,I agree to participate,No,No,,,,,,,No fees are reasonable,It is much more difficult for me to pay publishing fees than other researchers in my field,it kills your grant funding if you publish a lot of papers....absolutely kills it,
UMass,Gold,HM,100,229,TRUE,I agree to participate,Yes,,,Other,General Operating Funds,No,,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"It would be great if there was another mechanism through the Library to help cover the fees as Ag and applied researchers who get USDA grants are on a much lower scale than NIH R01 so we really cannot afford to be dropping $4k per publication and have to go subscription level, which can affect citations and article exposure for our grad students",It would be really good if there were targeted pools of money for faculty who have lower level grant funding or are between grants for APCs
UMass,Gold,HM,60,87,FALSE,I agree to participate,Yes,,,Other,startup,No,,,,,,
UMass,Gold,HM,100,260,TRUE,I agree to participate,Yes,,,The fee was waived,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I always choose journals with the cost to publish in mind. I serve as an associate editor so I can publish 1 free article per year in this OA journal, which benefits my students. So, it costs me in time, even when I get a waiver. ","I recognize that there is labor involved in the publishing industry, but the costs to publish are out of control. Especially when you consider the profit margins enjoyed by these publishers. I'm sure I'm preaching to the choir on this one. "
UMass,Gold,HM,100,566,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I would opt for open access of articles for all research studies. The mechanisms to make that happen should be accessible to researchers. Even if not through external grants through internal pool (even if competitive, i.e, through proposal submission). About the reasonable price, I would opt for a price that is sustainability for a journal, in the context of open access. I do not know much about operational cost of journals to comment on reasonable pricing question.",
UMass,Gold,HM,100,148,TRUE,I agree to participate,Yes,,,"Grant,Other university funding",,No,,Extremely reasonable,Less than or equal to $1.5k,It is much more difficult for me to pay publishing fees than other researchers in my field,"People with NIH and NSF money get much more and are required to publish open access. USDA is not that case and all of my funding comes from that, leaving me to use valuable discretionary funding that could be used for other important purposes (equipment, equipment maintenance, etc.)",
UMass,Gold,HM,100,1063,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,NSE,100,199,TRUE,I agree to participate,N/A,N/A,N/A,Other university funding,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,Having a system where open access publishing requires added fees appears to create a potentially problematic pay-to-play system in academic publishing.  ,
Pitt,Hybrid,NSE,100,79,TRUE,I agree to participate,N/A,N/A,N/A,The fee was waived,,No,,Extremely unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,NSE,100,112,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"It's great if you're on a grant, or if you have a PI with a grant, but if you don't have money, how are you supposed to get your work out there? This is particularly relevant in the case of non-TT faculty or temporary faculty many of who are struggling to get their name out there.",
Pitt,Hybrid,NSE,100,145,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,NSE,100,115,TRUE,I agree to participate,N/A,N/A,N/A,Department,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,NSE,100,180,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $500,It is much more difficult for me to pay publishing fees than other researchers in my field,"I am pretty convinced that author's ability to pay does NOT depend on R1 or R3 since many small colleges have more resources than we do and if we do not have a grant, we are in trouble. I have found that R3 are often able to find more funding these days at least in my field.",no
Pitt,Hybrid,NSE,22,30,FALSE,I agree to participate,N/A,N/A,N/A,,,,,,,,,
Pitt,Hybrid,HM,100,256,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,Other,That's a hypothetical I can't answer,Somewhat unreasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,928,TRUE,I agree to participate,N/A,N/A,N/A,Other university funding,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,200,TRUE,I agree to participate,N/A,N/A,N/A,Other,research and development funds,No,,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,I think the university should support and provide resources for open access publishing.  Not everyone has grant and research and development funds to cover the steep costs.,I think this is a problem at R1 and all institutions.
